34,N0ki4N,598073330835394560,@ideacellular  difference between 3G &amp; 2G speeds is like night &amp; day. Pls refer pic of 2G speed in our earlier convo speedtest.net/wp/30844753.png
35,pradeepakgarg,598060556310876161,@ideacellular  à¤†à¤ª à¤¶à¤¾à¤¦à¥€à¤¶à¥à¤¦à¤¾ à¤¹à¥ˆà¤‚ à¤¤à¥‹ à¤†à¤ªà¤•à¥‡ à¤²à¤¿à¤ à¤¯à¥‡ à¤œà¤¾à¤¨à¤¨à¤¾ à¤¬à¤¹à¥à¤¤ à¤œà¤¼à¤°à¥‚à¤°à¥€ \,à¤œà¤¾à¤¨à¤•à¤¾à¤°à¥€ à¤•à¥‡ à¤²à¤¿à¤ à¤•à¥‰à¤² à¤•à¤°à¥‡à¤‚ 08882498498 à¤ªà¤° #Scrap498a pic.twitter.com/JrCX
36,dinesh_pabbi,597840842779332608,@ideacellular  it&#39;s like idea replacing an iin ad with another iin ad tho both are same :-P
37,Varwandkar,597660048018395136,@ideacellular  You said you will come back\, but looks like you comfortably forgot my complaint. @juniorbachchan
38,kamrank,597471497532256256,@ideacellular  &#10;Finally\, IIN&#39;s cheating scandal busted.&#10;They steal tweets.ðŸ˜‚ðŸ˜‚&#10;twitter.com/bees_kut/statuâ€¦&#10;&#10;@Bees_Kut
39,pkeshwain,597471012742008832,@ideacellular  This #PepTalk of mine would have got him fired up at the #CWC15 finals toss! #Lagaan #IdeaTweet20 pic.twitter.com/Lz5lGqM8Af
40,Kabir_grewal1,597467967878668288,@ideacellular  idea wallo Badi Jaldi Tweet copy kerte ho? twitter.com/sirjadeja/statâ€¦
41,subhedar_aditya,597422090539536386,@ideacellular  plz tell idea customer center addresses in Indore.Google is showing only one address which is very far from my house.
42,yatharthsingh,597406095162773505,@ideacellular  I have not done any special recharge\,got a msg &quot;spcl recharge activated&quot; &amp; after that this msg.explain? pic.twitter.com/nO4aEGjMuC
43,desiniaz,597344795145609218,@ideacellular  IF YOU DONT STOP WITH YOUR UGLY ADVERTISEMENTS I WILL DRAG YOU ALL TO COURT ðŸ˜¡
44,Ssaiam,597119446893768704,@ideacellular   ki aad mein @juniorbachchan maze le raha hai !! #SalmanFridayRelease  twitter.com/ideacellular/sâ€¦
45,KyaUkhaadLega,596993723713527809,@ideacellular  cc @coolfunnytshirt @Being_Humor @Ojasism Corporate #MDL
46,Shruti1208,596946427940507649,@ideacellular  Really now. Highly insensitive and stupid.
47,rajatsirg,596888564165582848,@ideacellular  you should be ashamed to make fun of people who were killed.  Guess your campaign guys studied in IIN #HitAndRun
48,AbhaKatre,596877734829105152,@ideacellular  That&#39;s an incredibly insensitive tweet! Expected you to have a bit more decency than this... #FacePalm
49,SuitBootkaTweet,596742193747873792,@ideacellular  Yeh Tweet Abhishek ne likha tha kya?
50,Shehroze_MUFC,596705334778933250,@ideacellular  pic.twitter.com/uCHjBtiKuM
51,Varwandkar,596531666983628801,@ideacellular  @rajeshkalra there is no respect for customers at all. Full dadagiri. Customer care department is just a formality.
52,mewar_siddo,596529689126170624,@ideacellular  &#10;Do you guys have #ways to write same thing in different style &#10;a big #LOL #worst #service pic.twitter.com/VkpXenH53f
53,mewar_siddo,596527996003057664,@ideacellular  No #sync between #PR team and #service team &#10;#fake #promises #worst pic.twitter.com/oTyCSdPgee
54,anantha,596281610489606144,@ideacellular  Please check DM.
55,anand045,596226277763260417,@ideacellular  @imVkohli @AnushkaSharma @clearhair Ohh......... Teri shampoo ne bana di jodi.........Yara\, Maze kar....
